id,mean_fullfit,mean_bootstrap,median,CIlo,CIhi,Q1,Q3
NUM_EXIST_WBC_ACCTS_19 x DRIVERS_LICENCE_IND_2_1,-0.006389188,-0.005321807,-0.005454878,-0.007482404,-0.001793702,-0.006579393,-0.004429051
NUM_EXIST_WBC_ACCTS_23 x DRIVERS_LICENCE_IND_2_0,0.006342798,0.005283235,0.005251211,0.001780315,0.007529472,0.004309196,0.006533214
NUM_EXIST_WBC_ACCTS_23 x DRIVERS_LICENCE_IND_2_1,-0.006342744,-0.005283199,-0.005251087,-0.007529376,-0.00178034,-0.006533064,-0.004309193
NUM_EXIST_WBC_ACCTS_21 x DRIVERS_LICENCE_IND_2_0,0.0062401,0.005195685,0.005300023,0.001769156,0.007316749,0.004255939,0.006161552
NUM_EXIST_WBC_ACCTS_21 x DRIVERS_LICENCE_IND_2_1,-0.006240045,-0.005195649,-0.0052999,-0.007316816,-0.001769181,-0.00616148,-0.004255951
NUM_EXIST_WBC_ACCTS_24 x DRIVERS_LICENCE_IND_2_0,0.006148016,0.005137813,0.005237544,0.001718072,0.007120073,0.004206658,0.006182022
NUM_EXIST_WBC_ACCTS_24 x DRIVERS_LICENCE_IND_2_1,-0.006147962,-0.005137777,-0.005237421,-0.007120026,-0.001718098,-0.006181838,-0.004206639
NUM_EXIST_WBC_ACCTS_26 x DRIVERS_LICENCE_IND_2_0,0.006132931,0.005133486,0.005255399,0.001720284,0.007096172,0.004199095,0.006163504
NUM_EXIST_WBC_ACCTS_26 x DRIVERS_LICENCE_IND_2_1,-0.006132876,-0.00513345,-0.005255275,-0.007095988,-0.001720309,-0.006163348,-0.004199271
NUM_EXIST_WBC_ACCTS_25 x DRIVERS_LICENCE_IND_2_0,0.006111643,0.005113946,0.00520661,0.001714415,0.007094714,0.004183136,0.006127704
NUM_EXIST_WBC_ACCTS_25 x DRIVERS_LICENCE_IND_2_1,-0.006111588,-0.00511391,-0.005206487,-0.007094667,-0.001714441,-0.00612752,-0.004183117
NUM_EXIST_WBC_ACCTS_28 x DRIVERS_LICENCE_IND_2_0,0.006108919,0.005110248,0.005211392,0.001715307,0.007087829,0.00418256,0.006117235
NUM_EXIST_WBC_ACCTS_28 x DRIVERS_LICENCE_IND_2_1,-0.006108864,-0.005110212,-0.005211268,-0.007087783,-0.001715333,-0.006117051,-0.004182542
NUM_EXIST_WBC_ACCTS_27 x DRIVERS_LICENCE_IND_2_0,0.006106679,0.005108032,0.005211392,0.001714018,0.007084671,0.00418034,0.006116062
NUM_EXIST_WBC_ACCTS_27 x DRIVERS_LICENCE_IND_2_1,-0.006106625,-0.005107996,-0.005211268,-0.007084625,-0.001714044,-0.006115907,-0.004180321
NUM_EXIST_WBC_ACCTS_6 x SECURED_LOAN_PURPOSE_CODE_3,0.006267047,0.005023057,0.004794189,0,0.010622299,0.002557022,0.007207372
NUM_EXIST_WBC_ACCTS_7 x SECURED_LOAN_PURPOSE_CODE_3,0.006039078,0.004924069,0.004073378,0,0.012423064,0.001846026,0.007334348
NUM_EXIST_WBC_ACCTS_14 x DRIVERS_LICENCE_IND_2_0,0.005655022,0.004866276,0.004570284,0.000832796,0.009295835,0.002850787,0.007057843
NUM_EXIST_WBC_ACCTS_14 x DRIVERS_LICENCE_IND_2_1,-0.005654967,-0.00486624,-0.004570178,-0.009295769,-0.000832751,-0.007057707,-0.002850673
NUM_EXIST_WBC_ACCTS_15 x DRIVERS_LICENCE_IND_2_0,0.005858958,0.00467219,0.004856919,0.000571112,0.007673552,0.003216196,0.006510946
NUM_EXIST_WBC_ACCTS_15 x DRIVERS_LICENCE_IND_2_1,-0.005858903,-0.004672154,-0.004856746,-0.007673634,-0.000571095,-0.006510789,-0.00321602
NUM_EXIST_WBC_ACCTS_0 x SECURED_LOAN_PURPOSE_CODE_1,-0.005359491,-0.004434009,-0.003349043,-0.012824336,9.34E-05,-0.007151558,-0.000815088
NUM_EXIST_WBC_ACCTS_29 x DRIVERS_LICENCE_IND_2_0,0.004979372,0.004175143,0.00436737,0.000826472,0.006448104,0.003107404,0.005008694
NUM_EXIST_WBC_ACCTS_29 x DRIVERS_LICENCE_IND_2_1,-0.004979317,-0.004175108,-0.004367158,-0.006447951,-0.000826482,-0.00500862,-0.003107409
NUM_EXIST_WBC_ACCTS_8 x SECURED_LOAN_PURPOSE_CODE_3,0.004950059,0.004141389,0.003640501,0,0.010104154,0.0016419,0.006261679
NUM_EXIST_WBC_ACCTS_22 x DRIVERS_LICENCE_IND_2_0,0.005162649,0.004138247,0.004553338,0.001110595,0.006893301,0.003171851,0.004876582
NUM_EXIST_WBC_ACCTS_22 x DRIVERS_LICENCE_IND_2_1,-0.005162595,-0.004138211,-0.004553298,-0.006893345,-0.001110571,-0.004876741,-0.003171708
NUM_EXIST_WBC_ACCTS_10 x SECURED_LOAN_PURPOSE_CODE_1,0.004445199,0.003718794,0.003434234,0,0.007760947,0.002030959,0.005569695
NUM_EXIST_WBC_ACCTS_13 x SECURED_LOAN_PURPOSE_CODE_0,-0.004829589,-0.003713957,-0.003065894,-0.009690801,0,-0.005315884,-0.001434267
NUM_EXIST_WBC_ACCTS_16 x DRIVERS_LICENCE_IND_2_0,0.004580766,0.003682948,0.003642417,0.000389209,0.00814363,0.001738979,0.005280507
NUM_EXIST_WBC_ACCTS_16 x DRIVERS_LICENCE_IND_2_1,-0.004580712,-0.003682913,-0.003642411,-0.008143699,-0.000389192,-0.005280505,-0.001738828
NUM_EXIST_WBC_ACCTS_7 x SECURED_LOAN_PURPOSE_CODE_4,0.004510079,0.003622519,0.002856381,0,0.009035439,0.001521709,0.005277748
TIME_WITH_BANK_1,-0.00378134,-0.003611934,-0.003586949,-0.004230252,-0.003045037,-0.003809167,-0.00344373
NUM_EXIST_WBC_ACCTS_7 x SECURED_LOAN_PURPOSE_CODE_2,0.004260713,0.00343476,0.002693497,0,0.008827876,0.001387841,0.005120556
NUM_EXIST_WBC_ACCTS_8 x SECURED_LOAN_PURPOSE_CODE_4,0.004177484,0.003418433,0.00272898,0,0.00867856,0.001580502,0.004979632
NUM_EXIST_WBC_ACCTS_8 x SECURED_LOAN_PURPOSE_CODE_1,0.004080455,0.003394306,0.002822069,0,0.007758735,0.001294202,0.005376553
NUM_EXIST_WBC_ACCTS_12 x DRIVERS_LICENCE_IND_2_0,0.005240661,0.003374633,0.0028662,-0.003536906,0.010632999,0.000666766,0.005643093
