"","id","mean_fullfit","mean_bootstrap","median","CIlo","CIhi","Q1","Q3"
"63","NUM_EXIST_WBC_ACCTS_8 x DRIVERS_LICENCE_IND_2_0",0.02005,0.01787,0.019,0.00393,0.03163,0.01224,0.02349
"64","NUM_EXIST_WBC_ACCTS_9 x DRIVERS_LICENCE_IND_2_1",-0.03634,-0.01783,-0.01692,-0.03625,-0.00403,-0.02322,-0.01088
"65","NUM_EXIST_WBC_ACCTS_9 x DRIVERS_LICENCE_IND_2_0",0.03634,0.01783,0.01692,0.00403,0.03625,0.01088,0.02322
"66","SECURED_LOAN_PURPOSE_CODE_0 x SEC_FLAG_0",-0.08746,-0.01752,-0.01559,-0.03962,-0.00443,-0.02269,-0.00873
"67","SECURED_LOAN_PURPOSE_CODE_0 x SEC_FLAG_1",0.08746,0.01752,0.01559,0.00443,0.03962,0.00873,0.02269
"68","SECURED_LOAN_PURPOSE_CODE_3",-0.03742,-0.01599,-0.01607,-0.03128,0.00307,-0.02352,-0.00951
"69","NUM_EXIST_WBC_ACCTS_4 x DRIVERS_LICENCE_IND_2_1",-0.00305,-0.01548,-0.0146,-0.03324,-3e-05,-0.0224,-0.0087
"70","NUM_EXIST_WBC_ACCTS_4 x DRIVERS_LICENCE_IND_2_0",0.00305,0.01548,0.0146,3e-05,0.03324,0.0087,0.0224
"71","DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_2",-0.01696,-0.01487,-0.01306,-0.02636,-0.00461,-0.02087,-0.0102
"72","DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_2",0.01696,0.01487,0.01306,0.00461,0.02636,0.0102,0.02087
"73","DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_4",-0.01338,-0.01413,-0.01333,-0.02652,-0.00467,-0.01894,-0.00944
"74","DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_4",0.01338,0.01413,0.01333,0.00467,0.02652,0.00944,0.01894
"75","SECURED_LOAN_PURPOSE_CODE_1 x SEC_FLAG_0",-0.04656,-0.01363,-0.0124,-0.03037,-0.0036,-0.01771,-0.00672
"76","SECURED_LOAN_PURPOSE_CODE_1 x SEC_FLAG_1",0.04656,0.01363,0.0124,0.0036,0.03037,0.00672,0.01771
"77","NUM_EXIST_WBC_ACCTS_10",-0.10199,-0.01357,-0.01386,-0.02482,-0.00179,-0.01846,-0.00773
"78","NUM_EXIST_WBC_ACCTS_3 x NA",0.02588,0.01357,0.01262,0,0.02976,0.0068,0.01856
"79","SECURED_LOAN_PURPOSE_CODE_4 x SEC_FLAG_1",-0.06784,-0.01251,-0.01116,-0.02838,-0.00317,-0.01623,-0.00625
"80","SECURED_LOAN_PURPOSE_CODE_4 x SEC_FLAG_0",0.06784,0.01251,0.01116,0.00317,0.02838,0.00625,0.01623
"81","SECURED_LOAN_PURPOSE_CODE_0 x SEC_FLAG",-0.00071,-0.01242,-0.00084,-0.04876,0,-0.02083,0
"82","NUM_EXIST_WBC_ACCTS_1 x LN_PROTECTION_INS_IND_1",-0.07278,-0.01206,-0.00492,-0.04834,0,-0.01878,0
"83","NUM_EXIST_WBC_ACCTS_1 x LN_PROTECTION_INS_IND_0",0.07278,0.01206,0.00492,0,0.04834,0,0.01878
"84","DRIVERS_LICENCE_IND_2_1 x SECURED_LOAN_PURPOSE_CODE_3",-0.00604,-0.01136,-0.01145,-0.02076,-0.00244,-0.01469,-0.00676
"85","DRIVERS_LICENCE_IND_2_0 x SECURED_LOAN_PURPOSE_CODE_3",0.00604,0.01136,0.01145,0.00244,0.02076,0.00676,0.01469
"86","NUM_EXIST_WBC_ACCTS_11 x DRIVERS_LICENCE_IND_2_1",-0.03077,-0.01135,-0.01134,-0.02083,-0.0026,-0.01519,-0.00795
"87","NUM_EXIST_WBC_ACCTS_11 x DRIVERS_LICENCE_IND_2_0",0.03077,0.01135,0.01134,0.0026,0.02083,0.00795,0.01519
"88","DRIVERS_LICENCE_IND_1_0 x NUM_EXIST_WBC_ACCTS",0.01679,0.01107,0.00801,0,0.03234,0,0.01901
"89","DRIVERS_LICENCE_IND_1_1 x NUM_EXIST_WBC_ACCTS",-0.01679,-0.01107,-0.00801,-0.03234,0,-0.01901,0
"90","SECURED_LOAN_PURPOSE_CODE_2 x SEC_FLAG_1",-0.03762,-0.00991,-0.00881,-0.0218,-0.0026,-0.0127,-0.00504
"91","SECURED_LOAN_PURPOSE_CODE_2 x SEC_FLAG_0",0.03762,0.00991,0.00881,0.0026,0.0218,0.00504,0.0127
"92","NUM_APPS_0 x SECURED_LOAN_PURPOSE_CODE_4",0.01987,0.0099,0.01001,0.00602,0.01407,0.00781,0.01137
"93","NUM_EXIST_WBC_ACCTS_4 x NA",0.04001,0.0098,0.01019,0,0.01863,0.00554,0.0132
"94","NUM_BUR_ENQ_L6M_1 x NUM_BUR_ENQ_LST_7TO12_MTHS_1",-0.01515,-0.00905,-0.00924,-0.01394,-0.00418,-0.01063,-0.00778
"95","SECURED_LOAN_PURPOSE_CODE_3 x SEC_FLAG_1",-0.02855,-0.00873,-0.00792,-0.01904,-0.0021,-0.01167,-0.00419
"96","SECURED_LOAN_PURPOSE_CODE_3 x SEC_FLAG_0",0.02855,0.00872,0.00792,0.0021,0.01904,0.00419,0.01167
"97","NUM_APPS_1 x LN_PROTECTION_INS_IND_1",-0.01917,-0.00845,-0.0048,-0.02661,0,-0.01441,0
"98","NUM_APPS_1 x LN_PROTECTION_INS_IND_0",0.01917,0.00845,0.0048,0,0.02661,0,0.01441
"99","NUM_EXIST_WBC_ACCTS_12 x NA",0.01809,-0.00747,-0.00569,-0.0183,0,-0.01277,-0.00127
"100","NUM_EXIST_WBC_ACCTS_10 x DRIVERS_LICENCE_IND_2_1",-0.00151,-0.00641,-0.00698,-0.01438,0.00052,-0.00945,-0.00302
"101","NUM_EXIST_WBC_ACCTS_10 x DRIVERS_LICENCE_IND_2_0",0.00151,0.00641,0.00698,-0.00052,0.01438,0.00302,0.00945
"102","NUM_EXIST_WBC_ACCTS_2 x LN_PROTECTION_INS_IND_1",-0.01492,-0.00628,-0.00264,-0.0217,0,-0.01039,0
"103","NUM_EXIST_WBC_ACCTS_2 x LN_PROTECTION_INS_IND_0",0.01492,0.00628,0.00264,0,0.0217,0,0.01039
"104","NUM_EXIST_WBC_ACCTS_13 x DRIVERS_LICENCE_IND_2_1",-0.00955,-0.00529,-0.00532,-0.01021,-0.00036,-0.00693,-0.00309
"105","NUM_EXIST_WBC_ACCTS_13 x DRIVERS_LICENCE_IND_2_0",0.00955,0.00529,0.00532,0.00036,0.01021,0.00309,0.00693
"106","NUM_APPS_0 x SECURED_LOAN_PURPOSE_CODE_3",0.00746,0.00505,0.00494,-0.00018,0.01042,0.0026,0.0075
"107","NUM_EXIST_WBC_ACCTS_2 x NA",-0.01131,0.00499,0.00362,-0.00022,0.01623,0.00118,0.00698
"108","NUM_EXIST_WBC_ACCTS_4 x NUM_APPS",0.04326,0.00487,0.00238,0,0.0216,0,0.00701
"109","NUM_APPS_2 x LN_PROTECTION_INS_IND_0",-0.01273,-0.00482,-0.00268,-0.01543,0,-0.00822,0
"110","NUM_APPS_2 x LN_PROTECTION_INS_IND_1",0.01273,0.00482,0.00268,0,0.01543,0,0.00822
"111","NUM_EXIST_WBC_ACCTS_17 x DRIVERS_LICENCE_IND_2_1",-0.00959,-0.00462,-0.00447,-0.00767,-0.00162,-0.00581,-0.00313
"112","NUM_EXIST_WBC_ACCTS_17 x DRIVERS_LICENCE_IND_2_0",0.00959,0.00462,0.00447,0.00162,0.00767,0.00313,0.00581
"113","NUM_EXIST_WBC_ACCTS_18 x DRIVERS_LICENCE_IND_2_1",-0.0105,-0.00447,-0.00474,-0.0066,-0.00182,-0.00537,-0.00361
